english,irish
discuss and appreciate how the positive contributions of each person can make the class or school a better place for everyone,an bealach ina bhféadfadh cúnamh deimhneach ón uile dhuine an rang nó an scoil a fheabhsú ar mhaithe le cách a phlé agus a léirthuiscint
develop an awareness of people in other places,feasacht faoi dhaoine in áiteanna eile a fhorbairt
develop a sense of belonging to his/her own local community,tuiscint a fhorbairt gur ball dá p(h)obal áitiúil féin é/í
begin to appreciate how people depend on each other in many aspects of life,dul i gceann tuisceana ar an gcaoi a mbraitheann daoine ar a chéile in an-chuid gnéithe den saol
be involved in making the classroom rules and recognise the importance of adhering to these rules for the safety of all,a bheith páirteach i gcumadh rialacha an tseomra ranga agus an tábhacht a bhaineann le cloí leis na rialacha seo ar mhaithe le sábháilteacht chách a aithint
"be aware of and appreciate the diversity of cultures and people in the local community, recognise their contributions and be aware of how differences can enrich his/her experiences","bheith feasach agus léirthuisceanach ar ilghnéitheacht na gcultúr is na ndaoine sa phobal áitiúil, an chabhair a thugann siad a aithint agus bheith feasach ar an gcaoi ar féidir le difríochtaí a (h)eispéiris féin a shaibhriú"
appreciate the environment and realise that there is a community and individual responsibility in caring for and protecting the environment,an t-imshaol a léirthuiscint agus a aithint go bhfuil freagracht ar bhonn pobail agus aonair ar gach duine as cúram agus cosaint an imshaoil
"listen, hear and respond to what is being said by others","éisteacht lena mbíonn á rá ag daoine eile, é a chloisteáil agus a fhreagairt"
"express and record experiences, opinions, feelings and emotions in a variety of ways","eispéiris, tuairimí agus braistintí a chur in iúl agus a chlárú ar shlite éagsúla"
explore and practise how to handle conflict without being aggressive,an chaoi le coimhlint a láimhsiú gan bheith ionsaitheach a iniúchadh agus a chleachtadh
distinguish between verbal and non-verbal behaviour and know how they are used in performing social functions,iompraíocht bhriathartha agus neamhbhriathartha a idirdhealú ó chéile agus mar a úsáidtear iad i gcomhlíonadh feidhmeanna sóisialta a thuiscint
recognise his/her role and place in the family unit and the contribution made by each member to the family,a ról agus a (h)áit sa teaghlach a aithint mar aon leis an gcabhair a thugann gach ball den teaghlach
identify and talk about those who live at home and recognise that homes and families can vary,iad siúd a chónaíonn sa bhaile a ainmniú agus labhairt fúthu agus a aithint nach ionann gach baile agus gach teaghlach
"explore many of the things that are learned in families, both practical and otherwise","go leor de na rudaí a fhoghlaimítear i dteaghlaigh, rudaí praiticiúla agus rudaí nach iad, a iniúchadh"
"appreciate his/her own family and identify ways in which members of families can help, support and care for each other",a t(h)eaghlach féin a léirthuiscint agus bealaí a aithint inar féidir le baill teaghlaigh cabhrú agus tacú lena chéile agus aire a thabhairt dá chéile
"recognise and explore bullying behaviour, who is involved and the effects on different people","iompar bulaíochta, cé a bhíonn páirteach ann agus cén tionchar a bhíonn aige ar dhaoine éagsúla a aithint agus a iniúchadh"
know that bullying is always wrong and what should be done if one is being bullied or sees it happening to someone else,a thuiscint go mbíonn bulaíocht i gcónaí olc agus a bheith feasach ar cad ba chóir a dhéanamh má bhíonn sé/sí á b(h)ulaíocht nó má fheiceann sé/sí á himirt ar dhuine eile í
know how to treat people with dignity and respect,fios a bheith aige/aici conas déileáil le daoine le dínit is le meas
"identify, explore and discuss qualities and skills associated with friendship","cáilíochtaí agus scileanna atá bainteach le cairdeas a aithint, a iniúchadh agus a phlé"
explore how friends can influence personal actions and decisions,an bealach inar féidir le cairde tionchar a imirt ar ghníomhartha is ar chinntí pearsanta a iniúchadh
discuss personal friends and why he/she enjoys being with them,cairde pearsanta a phlé agus an fáth a mbaineann sé/sí taitneamh as bheith ina dteannta
recognise the importance of treating the body with respect and dignity,a thábhachtaí atá sé caitheamh leis an gcorp le meas agus le dínit a aithint
recognise and practise good hygiene when dealing with food,dea-shláinteachas a aithint agus a chleachtadh nuair a bhítear ag plé le bia
recognise and examine some of the substances that are taken into the body and the purpose and function of each one,cuid de na substaintí a thógtar isteach sa chorp a aithint agus a scrúdú mar aon le gnó agus feidhm gach ceann díobh
realise that each individual must take some responsibility for self-care,a aithint nach foláir do gach duine glacadh le freagracht áirithe as aire a thabhairt dó/di féin
"name parts of the male and female body, using appropriate anatomical terms, and identify some of their functions","codanna den chorp fireann is den chorp baineann a ainmniú, ag úsáid téarmaí anatamaíocha oiriúnacha, agus roinnt dá bhfeidhmeanna a aithint"
identify some of the foods that are derived from plant and animal sources,roinnt de na bianna a fhaightear as foinsí plandúla is ainmhíocha a aithint
explore the various things the body can do,na rudaí éagsúla is féidir leis an gcorp a dhéanamh a iniúchadh
"explore the importance of food for promoting growth, keeping healthy and providing energy","tábhacht bia i gcothú fáis, i mbuanú sláinte agus i soláthar fuinnimh a iniúchadh"
develop and practise basic hygiene skills,scileanna bunúsacha sláinteachais a shaothrú agus a chleachtadh
become aware of how infection spreads easily and the importance of adhering to a code of hygiene,éirí feasach ar chomh héasca agus a scaipeann galrú agus an tábhacht a bhaineann le cloí le cód sláinteachais
appreciate the need and understand how to care for the body in order to keep it strong and healthy,an gá le haire a thabhairt dá c(h)orp féin a léirthuiscint agus conas aire a thabhairt dó a chiallú d'fhonn é a choimeád sláintiúil folláin
"appreciate that balance, regularity and moderation are necessary in the diet","a thuiscint go bhfuil cothromaíocht, rialtacht agus measarthacht riachtanach sa réim bia"
recognise and reflect on choices that are made every day,roghanna a dhéantar gach lá a aithint agus machnamh a dhéanamh orthu
recognise and appreciate the similarities and differences between people,na cosúlachtaí agus na difríochtaí idir dhaoine a aithint agus a léirthuiscint
realise that being involved in decisionmaking demands more personal responsibility,a thuiscint go n-éilíonn páirtíocht i gcinnteoireacht níos mó freagrachta pearsanta
"identify and talk about personal preferences, dreams for the future and hopes","roghnachas pearsanta, aislingí don todhchaí agus mianaidhmeanna a aithint agus a phlé"
express personal opinions and preferences and acknowledge those of others and comment on them,tuairimí agus roghanna pearsanta a nochtadh agus cuid daoine eile a admháil agus labhairt fúthu
explore different ways of coping with change,slite difriúla chun déileáil le hathrú a iniúchadh
discuss the factors that may influence personal decisions or choices,na tosca a mbeadh tionchar acu ar chinnteoireacht nó roghanna pearsanta a phlé
"develop an appreciation of and talk about personal strengths, abilities and characteristics","léirthuiscint ar bhuanna, ar chumas agus ar thréithe pearsanta a fhorbairt agus labhairt mar gheall orthu"
become more independent and self-reliant,éirí níos neamhspleáiche agus níos féinmhuiníní
become aware of his/her immediate world through the senses,a bheith feasach ar an saol mórthimpeall air/uirthi trí na céadfaí
recognise places where it is safe to play and understand the importance of adopting responsible and equitable behaviour when playing,áiteanna atá sábháilte le haghaidh súgartha a aithint agus an tábhacht atá le roghnú iompraíochta atá freagrach agus cothrom le linn súgartha a thuiscint
recognise how accidents might be caused and what can be done in order to prevent accidents happening,a aithint cad is ciontach le timpistí agus cad is féidir a dhéanamh chun iad a chosc
recognise and explore situations where children feel safe and those where safety might be at risk,staideanna ina mbraitheann páistí sábháilte mar aon leo siúd ina bhféadfadh sábháilteacht bheith i bhfiontar a aithint agus a iniúchadh
recognise and explore occasions when medicines are needed,ócáidí a mbíonn gá le leighis a aithint agus a iniúchadh
identify risky behaviour and examine its positive and negative consequences,iompraíocht chontúirteach a aithint agus na torthaí deimhneacha is diúltacha a leanann í a scrúdú
explore how other people can persuade him/her to engage in unsafe behaviour and how this may be counteracted,an tslí inar féidir le daoine eile a áiteamh air/uirthi páirt a ghlacadh in iompraíocht neamhshábháilte a iniúchadh agus conas is féidir é seo a chur ar ceal
distinguish between substances in the home or school that are safe and those that are dangerous and seek permission before exploring them,substaintí sa bhaile nó ar scoil atá sábháilte a idirdhealú uatha sin atá dainséarach agus cead a lorg sula n-iniúchtar iad
discuss and practise appropriate strategies for dealing with these situations,straitéisí oiriúnacha chun déileáil leis na staideanna seo a phlé agus a chleachtadh
develop and practise strategies for keeping safe when travelling,straitéisí chun bheith sábháilte le linn taistil a fhorbairt agus a chleachtadh
"become familiar with and understand the need to adhere to safety rules that apply in school, at home, on the farm, in water, for his/her own safety and that of others","bheith eolach agus tuisceanach ar an ngá chun cloí le rialacha sábháilteachta a bhfuil feidhm acu sa scoil, sa bhaile, ar an bhfeirm, san uisce, ar mhaithe lena s(h ábháilteacht féin agus sábháilteacht daoine eile"
recognise that individual actions can affect the feelings of others,a aithint gur féidir le gníomhartha duine amháin tionchar a imirt ar bhraistintí daoine eile
realise the various roles parents and other family members have in providing for newborn babies,na rólanna éagsúla atá ag tuismitheoirí agus ag baill eile teaghlaigh maidir le soláthar do naíonáin nuabheirthe a thuiscint
realise that growth takes place in many different ways and is unique to each individual,a thuiscint go dtarlaíonn fás ar an-chuid slite difriúla agus gur rud sainiúil é i gcás gach duine
realise that growing up brings increased responsibility for himself/herself and others,a thuiscint go mbíonn freagracht bhreise as/aisti féin agus as daoine eile mar thoradh ar bheith ag fás suas
realise and explore the various ways feelings can be expressed and dealt with and choose which are the most appropriate and acceptable,na slite éagsúla inar féidir braistintí a chur in iúl agus déileáil leo a thuiscint agus a iniúchadh agus rogha a dhéanamh ar na nslite is oiriúnaí agus is so-ghlactha
name and identify a wide range of feelings and talk about and explore feelings in different situations,raon leathan de bhraistintí a ainmniú agu a aithint agus braistintí a phlé agus a iniúchadh i dtosca éagsúla
identify people with whom he/she can discuss feelings and emotions,daoine a aithint lena bhféadfadh sé/sí braistintí agus mothúcháin a phlé
explore the various feelings that change as one grows,na mothúcháin éagsúla a athraíonn agus duine ag fás a iniúchadh
"begin to understand that reproduction, birth, life, growth and death are all part of a life cycle","dul i gceann tuisceana gur gnéithe den saolré uile iad síolrú, breith, beatha, fás agus bás"
"begin to recognise the physical, emotional, social and spiritual factors that promote growth","tosú ar na tosca fisiceacha, mothúchánacha, sóisialta agus spioradálta a chuidíonn le fás a aithint"
become aware of and be able to choose healthy ways of feeling good about himself/herself,"a bheith feasach ar, agus bheith in ann, bealaí folláine a roghnú chun bheith measúil air/uirthi féin"
appreciate what is necessary in order to provide and care for new-born babies in both the animal and human world,a bhfuil riachtanach chun soláthar do agus aire a thabhairt don naí nuabheirthe sa saol ainmhíoch agus daonna araon a thuiscint
discuss and explore advertising that is specifically aimed at children,fógraíocht a dhírítear go speisialta ar pháistí a phlé agus a iniúchadh
begin to distinguish between fact and fiction in stories or situations in different media forms,tosú ar idirdhealú a dhéanamh ar fhíricí agus fhicsean i scéalta nó suímh i bhfoirmeacha éagsúla de na meáin
become aware of and learn about the different ways in which information can be communicated,éirí feasach ar na slite difriúla inar féidir eolas a chur in iúl agus foghlaim mar gheall orthu
recognise and write the name and location of his/her own school and identify those who constitute the school community,ainm agus suíomh a scoile féin a aithint agus a scríobh agus iad siúd ar de phobal na scoile iad a aithint
identify those who have special responsibilities for looking after people in the community and the importance of the contribution of each individual to community life,iad siúd a bhfuil freagracht faoi leith orthu as aire a thabhairt do dhaoine sa phobal a aithint mar aon le tábhacht na cabhrach a thugann an uile dhuine do shaol an phobail
explore what it means to belong and recognise some of the different groups to which he/she can belong,an bhrí atá le bheith ina b(h)all de phobal na scoile a iniúchadh agus roinnt de na grúpaí éagsúla a bhféadfadh sé/sí bheith ina b(h)all díobh a aithint
"engage in group activities in the class and learn how to share, co-operate, listen to, work and play together","páirt a ghlacadh i ngníomhaíochtaí grúpa sa rang agus foghlaim conas roinnt, comhoibriú, éisteacht, saothrú agus súgradh le chéile"
discuss and appreciate how the positive contributions of each person can make the class or school a better place for everyone,an bealach ina bhféadfadh cúnamh deimhneach ón uile dhuine an rang nó an scoil a fheabhsú ar mhaithe le cách a phlé agus a léirthuiscint
develop an awareness of people in other places,feasacht faoi dhaoine in áiteanna eile a fhorbairt
develop a sense of belonging to his/her own local community,tuiscint a fhorbairt gur ball dá p(h)obal áitiúil féin é/í
begin to appreciate how people depend on each other in many aspects of life,dul i gceann tuisceana ar an gcaoi a mbraitheann daoine ar a chéile in an-chuid gnéithe den saol
be involved in making the classroom rules and recognise the importance of adhering to these rules for the safety of all,a bheith páirteach i gcumadh rialacha an tseomra ranga agus an tábhacht a bhaineann le cloí leis na rialacha seo ar mhaithe le sábháilteacht chách a aithint
"be aware of and appreciate the diversity of cultures and people in the local community, recognise their contributions and be aware of how differences can enrich his/her experiences","bheith feasach agus léirthuisceanach ar ilghnéitheacht na gcultúr is na ndaoine sa phobal áitiúil, an chabhair a thugann siad a aithint agus bheith feasach ar an gcaoi ar féidir le difríochtaí a (h)eispéiris féin a shaibhriú"
appreciate the environment and realise that there is a community and individual responsibility in caring for and protecting the environment,an t-imshaol a léirthuiscint agus a aithint go bhfuil freagracht ar bhonn pobail agus aonair ar gach duine as cúram agus cosaint an imshaoil
"listen, hear and respond to what is being said by others","éisteacht lena mbíonn á rá ag daoine eile, é a chloisteáil agus a fhreagairt"
"express and record experiences, opinions, feelings and emotions in a variety of ways","eispéiris, tuairimí agus braistintí a chur in iúl agus a chlárú ar shlite éagsúla"
explore and practise how to handle conflict without being aggressive,an chaoi le coimhlint a láimhsiú gan bheith ionsaitheach a iniúchadh agus a chleachtadh
distinguish between verbal and non-verbal behaviour and know how they are used in performing social functions,iompraíocht bhriathartha agus neamhbhriathartha a idirdhealú ó chéile agus mar a úsáidtear iad i gcomhlíonadh feidhmeanna sóisialta a thuiscint
recognise his/her role and place in the family unit and the contribution made by each member to the family,a ról agus a (h)áit sa teaghlach a aithint mar aon leis an gcabhair a thugann gach ball den teaghlach
identify and talk about those who live at home and recognise that homes and families can vary,iad siúd a chónaíonn sa bhaile a ainmniú agus labhairt fúthu agus a aithint nach ionann gach baile agus gach teaghlach
"explore many of the things that are learned in families, both practical and otherwise","go leor de na rudaí a fhoghlaimítear i dteaghlaigh, rudaí praiticiúla agus rudaí nach iad, a iniúchadh"
"appreciate his/her own family and identify ways in which members of families can help, support and care for each other",a t(h)eaghlach féin a léirthuiscint agus bealaí a aithint inar féidir le baill teaghlaigh cabhrú agus tacú lena chéile agus aire a thabhairt dá chéile
"recognise and explore bullying behaviour, who is involved and the effects on different people","iompar bulaíochta, cé a bhíonn páirteach ann agus cén tionchar a bhíonn aige ar dhaoine éagsúla a aithint agus a iniúchadh"
know that bullying is always wrong and what should be done if one is being bullied or sees it happening to someone else,a thuiscint go mbíonn bulaíocht i gcónaí olc agus a bheith feasach ar cad ba chóir a dhéanamh má bhíonn sé/sí á b(h)ulaíocht nó má fheiceann sé/sí á himirt ar dhuine eile í
know how to treat people with dignity and respect,fios a bheith aige/aici conas déileáil le daoine le dínit is le meas
"identify, explore and discuss qualities and skills associated with friendship","cáilíochtaí agus scileanna atá bainteach le cairdeas a aithint, a iniúchadh agus a phlé"
explore how friends can influence personal actions and decisions,an bealach inar féidir le cairde tionchar a imirt ar ghníomhartha is ar chinntí pearsanta a iniúchadh
discuss personal friends and why he/she enjoys being with them,cairde pearsanta a phlé agus an fáth a mbaineann sé/sí taitneamh as bheith ina dteannta
recognise the importance of treating the body with respect and dignity,a thábhachtaí atá sé caitheamh leis an gcorp le meas agus le dínit a aithint
recognise and practise good hygiene when dealing with food,dea-shláinteachas a aithint agus a chleachtadh nuair a bhítear ag plé le bia
recognise and examine some of the substances that are taken into the body and the purpose and function of each one,cuid de na substaintí a thógtar isteach sa chorp a aithint agus a scrúdú mar aon le gnó agus feidhm gach ceann díobh
realise that each individual must take some responsibility for self-care,a aithint nach foláir do gach duine glacadh le freagracht áirithe as aire a thabhairt dó/di féin
"name parts of the male and female body, using appropriate anatomical terms, and identify some of their functions","codanna den chorp fireann is den chorp baineann a ainmniú, ag úsáid téarmaí anatamaíocha oiriúnacha, agus roinnt dá bhfeidhmeanna a aithint"
identify some of the foods that are derived from plant and animal sources,roinnt de na bianna a fhaightear as foinsí plandúla is ainmhíocha a aithint
explore the various things the body can do,na rudaí éagsúla is féidir leis an gcorp a dhéanamh a iniúchadh
"explore the importance of food for promoting growth, keeping healthy and providing energy","tábhacht bia i gcothú fáis, i mbuanú sláinte agus i soláthar fuinnimh a iniúchadh"
develop and practise basic hygiene skills,scileanna bunúsacha sláinteachais a shaothrú agus a chleachtadh
become aware of how infection spreads easily and the importance of adhering to a code of hygiene,éirí feasach ar chomh héasca agus a scaipeann galrú agus an tábhacht a bhaineann le cloí le cód sláinteachais
appreciate the need and understand how to care for the body in order to keep it strong and healthy,an gá le haire a thabhairt dá c(h)orp féin a léirthuiscint agus conas aire a thabhairt dó a chiallú d'fhonn é a choimeád sláintiúil folláin
"appreciate that balance, regularity and moderation are necessary in the diet","a thuiscint go bhfuil cothromaíocht, rialtacht agus measarthacht riachtanach sa réim bia"
recognise and reflect on choices that are made every day,roghanna a dhéantar gach lá a aithint agus machnamh a dhéanamh orthu
recognise and appreciate the similarities and differences between people,na cosúlachtaí agus na difríochtaí idir dhaoine a aithint agus a léirthuiscint
realise that being involved in decisionmaking demands more personal responsibility,a thuiscint go n-éilíonn páirtíocht i gcinnteoireacht níos mó freagrachta pearsanta
"identify and talk about personal preferences, dreams for the future and hopes","roghnachas pearsanta, aislingí don todhchaí agus mianaidhmeanna a aithint agus a phlé"
express personal opinions and preferences and acknowledge those of others and comment on them,tuairimí agus roghanna pearsanta a nochtadh agus cuid daoine eile a admháil agus labhairt fúthu
explore different ways of coping with change,slite difriúla chun déileáil le hathrú a iniúchadh
discuss the factors that may influence personal decisions or choices,na tosca a mbeadh tionchar acu ar chinnteoireacht nó roghanna pearsanta a phlé
"develop an appreciation of and talk about personal strengths, abilities and characteristics","léirthuiscint ar bhuanna, ar chumas agus ar thréithe pearsanta a fhorbairt agus labhairt mar gheall orthu"
become more independent and self-reliant,éirí níos neamhspleáiche agus níos féinmhuiníní
become aware of his/her immediate world through the senses,a bheith feasach ar an saol mórthimpeall air/uirthi trí na céadfaí
recognise places where it is safe to play and understand the importance of adopting responsible and equitable behaviour when playing,áiteanna atá sábháilte le haghaidh súgartha a aithint agus an tábhacht atá le roghnú iompraíochta atá freagrach agus cothrom le linn súgartha a thuiscint
recognise how accidents might be caused and what can be done in order to prevent accidents happening,a aithint cad is ciontach le timpistí agus cad is féidir a dhéanamh chun iad a chosc
recognise and explore situations where children feel safe and those where safety might be at risk,staideanna ina mbraitheann páistí sábháilte mar aon leo siúd ina bhféadfadh sábháilteacht bheith i bhfiontar a aithint agus a iniúchadh
recognise and explore occasions when medicines are needed,ócáidí a mbíonn gá le leighis a aithint agus a iniúchadh
identify risky behaviour and examine its positive and negative consequences,iompraíocht chontúirteach a aithint agus na torthaí deimhneacha is diúltacha a leanann í a scrúdú
explore how other people can persuade him/her to engage in unsafe behaviour and how this may be counteracted,an tslí inar féidir le daoine eile a áiteamh air/uirthi páirt a ghlacadh in iompraíocht neamhshábháilte a iniúchadh agus conas is féidir é seo a chur ar ceal
distinguish between substances in the home or school that are safe and those that are dangerous and seek permission before exploring them,substaintí sa bhaile nó ar scoil atá sábháilte a idirdhealú uatha sin atá dainséarach agus cead a lorg sula n-iniúchtar iad
discuss and practise appropriate strategies for dealing with these situations,straitéisí oiriúnacha chun déileáil leis na staideanna seo a phlé agus a chleachtadh
develop and practise strategies for keeping safe when travelling,straitéisí chun bheith sábháilte le linn taistil a fhorbairt agus a chleachtadh
"become familiar with and understand the need to adhere to safety rules that apply in school, at home, on the farm, in water, for his/her own safety and that of others","bheith eolach agus tuisceanach ar an ngá chun cloí le rialacha sábháilteachta a bhfuil feidhm acu sa scoil, sa bhaile, ar an bhfeirm, san uisce, ar mhaithe lena s(h ábháilteacht féin agus sábháilteacht daoine eile"
recognise that individual actions can affect the feelings of others,a aithint gur féidir le gníomhartha duine amháin tionchar a imirt ar bhraistintí daoine eile
realise the various roles parents and other family members have in providing for newborn babies,na rólanna éagsúla atá ag tuismitheoirí agus ag baill eile teaghlaigh maidir le soláthar do naíonáin nuabheirthe a thuiscint
realise that growth takes place in many different ways and is unique to each individual,a thuiscint go dtarlaíonn fás ar an-chuid slite difriúla agus gur rud sainiúil é i gcás gach duine
realise that growing up brings increased responsibility for himself/herself and others,a thuiscint go mbíonn freagracht bhreise as/aisti féin agus as daoine eile mar thoradh ar bheith ag fás suas
realise and explore the various ways feelings can be expressed and dealt with and choose which are the most appropriate and acceptable,na slite éagsúla inar féidir braistintí a chur in iúl agus déileáil leo a thuiscint agus a iniúchadh agus rogha a dhéanamh ar na nslite is oiriúnaí agus is so-ghlactha
name and identify a wide range of feelings and talk about and explore feelings in different situations,raon leathan de bhraistintí a ainmniú agu a aithint agus braistintí a phlé agus a iniúchadh i dtosca éagsúla
identify people with whom he/she can discuss feelings and emotions,daoine a aithint lena bhféadfadh sé/sí braistintí agus mothúcháin a phlé
explore the various feelings that change as one grows,na mothúcháin éagsúla a athraíonn agus duine ag fás a iniúchadh
"begin to understand that reproduction, birth, life, growth and death are all part of a life cycle","dul i gceann tuisceana gur gnéithe den saolré uile iad síolrú, breith, beatha, fás agus bás"
"begin to recognise the physical, emotional, social and spiritual factors that promote growth","tosú ar na tosca fisiceacha, mothúchánacha, sóisialta agus spioradálta a chuidíonn le fás a aithint"
become aware of and be able to choose healthy ways of feeling good about himself/herself,"a bheith feasach ar, agus bheith in ann, bealaí folláine a roghnú chun bheith measúil air/uirthi féin"
appreciate what is necessary in order to provide and care for new-born babies in both the animal and human world,a bhfuil riachtanach chun soláthar do agus aire a thabhairt don naí nuabheirthe sa saol ainmhíoch agus daonna araon a thuiscint
realise that he/she receives information from many different sources,a aithint go bhfaigheann sé/sí eolas ó anchuid foinsí difriúla
"identify favourite television programmes, videos and video games and indicate reasons for preference","na cláir theilifíse, na físeáin agus na físchluichí is ansa leis/léi a aithint agus cúiseanna leis na roghanna a chur in iúl"
"explore popular stories, books and rhymes and discuss some of the characters and their appealing traits","scéalta, leabhair agus rímeanna coitianta a iniúchadh agus roinnt de na pearsana agus a dtréithe tarraingteacha a phlé"
begin to use and explore the various kinds of information technology available,tosú ar na saghsanna difriúla teicneolaíochta eolais atá ar fáil a úsáid agus a iniúchadh
begin to explore and talk about the difference between advertisements and programmes,tosú ar iniúchadh agus díospóireacht a dhéanamh faoin difríocht idir fógraí agus cláir
"suggest ways of helping other people at home, in school and in the local community","slite a mholadh chun cabhrú le daoine eile sa bhaile, sa scoil agus sa phobal áitiúil"
recognise the name of his/her own school and the people who contribute to the life of the school,ainm a scoile féin a aithint mar aon leis na daoine a chuidíonn le gnáthshaol na scoile
recognise the importance of sharing and co-operating and being fair in all activities in the class and school,a aithint go bhfuil comhoibriú agus roinnt tábhachtach maille le bheith cóir i ngach gníomhaíocht sa rang agus sa scoil
recognise that each person has an important contribution to make to the life of the community,a aithint go bhfuil cabhair shuntasach le tabhairt ag gach duine do bheatha an phobail
"recognise and become familiar with the rules within a group or wider community, those who safeguard these rules and the importance of obeying the rules in order to keep people safe","na rialacha laistigh de ghrúpa nó de phobal níos leithne a aithint agus bheith eolach orthu, na daoine a chosnaíonn na rialacha seo agus an tábhacht a bhaineann le géilleadh do na rialacha ar mhaithe le sábháilteacht daoine"
recognise and appreciate people or groups who serve the local community and how their contribution enhances the quality of life of others,daoine nó grúpaí a fhreastalaíonn ar an bpobal áitiúil a aithint agus a léirthuiscint agus mar a threisíonn an chabhair athugann siad mianach beatha daoine eile
realise that each person is important and has a unique and valuable contribution to make to the class,a thuiscint go bhfuil gach duine tábhachtach agus go bhfuil a c(h)ion tairbhe uathúil luachmhar le déanamh aige/aici sa rang
realise and understand the necessity for adhering to the class and school rules,an gá le rialacha an ranga agus na scoile a choinneáil a aithint agus a thuiscint
explore and respect the diversity of children in the class and school,ilghnéitheacht na bpáistí sa rang agus sa scoil a iniúchadh agus ómós a thabhairt di
begin to become aware of local identity and to participate in and enjoy celebrating local events,tosú ar fheasacht a ghnóthú ar chéannacht áitiúil agus páirt a ghlacadh i gceiliúradh imeachtaí áitiúla agus taitneamh a bhaint astu
appreciate the environment and realise that each individual has a community and individual responsibility for protecting and caring for the environment,an t-imshaol a léirthuiscint agus a aithint go bhfuil freagracht ar bhonn pobail agus aonair ar gach duine as cosaint agus cúram an imshaol
use verbal and non-verbal behaviour to perform social functions,iompraíocht bhriathartha agus neamhbhriathartha a úsáid chun feidhmeanna sóisialta a chomhlíonadh
resolve conflicts with others,coimhlintí le daoine eile a réiteach
"practise care and consideration, courtesy and good manners when interacting with others","cúram agus aird, cúirtéis agus dea-bhéasa a chleachtadh le linn idirghníomhaíochta le daoine eile"
listen and respond to the opinions and views of others,éisteacht le tuairimí daoine eile agus iad a fhreagairt
realise that he/she belongs to a family and that each person has a place and role within a family,a thuiscint gur ball de theaghlach é/í agus go bhfuil ionad agus ról ag gach duine laistigh de theaghlach
"realise how families take care of, support and love each other","a thuiscint conas a thugann teaghlaigh aire, tacaíocht agus grá dá chéile"
identify and name the people who constitute a family and appreciate that all family units are not the same,na daoine a chomhdhéanann teaghlach a aithint agus a ainmniú agus a thuiscint nach mar a chéile gach aonad teaghlaigh
explore the things that families do together,na rudaí a dhéanann teaghlaigh in éineacht a iniúchadh
explore and acknowledge many of the things that can be learned in the home,an-chuid dena nithe is féidir a fhoghlaim sa bhaile a iniúchadh agus a aithint
"recognise and explore bullying behaviour, who is involved and the effects on different people","iompar bulaíochta, cé a bhíonn páirteach ann agus cén tionchar a bhíonn aige ar dhaoine éagsúla a aithint agus a iniúchadh"
recognise and appreciate differences in people and know how to treat others with dignity and respect,difríochtaí idir dhaoine a aithint agus a léirthuiscint agus bheith eolach ar conas déileáil le daoine eile le dínit is le meas
know that bullying is always wrong and know what should be done if one is being bullied or sees it happening to someone else,a thuiscint go mbíonn bulaíocht i gcónaí olc agus a bheith feasach ar cad ba chóir a dhéanamh má bhíonn sé/sí á b(h)ulaíocht nó má fheiceann sé/sí á himirt ar dhuine eile í
"identify, discuss and appreciate his/her own friends","a c(h)airde féin a aithint, a phlé agus a mhórluacháil"
identify and appreciate friends at school and how they can help and care for each other,cairde scoile a aithint agus a mhórluacháil agus mar is féidir leo cabhrú lena chéile agus aire a thabhairt dá chéile
discuss and examine the different aspects of friendship,na gnéithe difriúla den chairdeas a phlé agus a scrúdú
"discuss and appreciate all those considered special, both within and outside the family circle","na daoine uile a cheaptar a bheith speisialta, laistigh agus lasmuigh de mhuintir an teaghlaigh, a phlé agus a mhórluacháil"
respect his/her own body and that of others,meas a bheith aige/aici ar a c(h)orp féin agus ar choirp daoine eile
recognise and practise basic hygiene skills,scileanna bunúsacha sláinteachais a aithint agus a chleachtadh
realise the importance of good hygiene when preparing food to eat,tábhacht dea-shláinteachais agus bia á ullmhú chun ite a thuiscint
realise that each individual has some responsibility for taking care of himself/herself,a thuiscint go bhfuil roinnt freagrachta ar gach duine as aire a thabhairt dó/di féin
"name parts of the male and female body, using appropriate anatomical terms","codanna den chorp fireann is den chorp baineann a ainmniú, ag úsáid téarmaí anatamaíocha oiriúnacha"
explore food preferences and their role in a balanced diet,an bia is rogha leis/léi a iniúchadh mar aon lena ról i réim chothrom bia
explore and discuss the different things the body can do,na rudaí éagsúla is féidir leis an gcorp a dhéanamh a iniúchadh agus a phlé
discuss and explore some qualities and categories of food,Roinnt cáilíochtaí agus aicmí bia a phlé agus a iniúchadh
become aware of the importance of food for growth and development,a bheith feasach ar thábhacht bia le haghaidh fáis is forbartha
"appreciate the need, and understand how to care for his/her own body in order to keep it healthy and well",an gá atá le haire a thabhairt dá c(h)orp féin a léirthuiscint agus conas aire a thabhairt dó a chiallú d'fhonn é a choimeád sláintiúil folláin
recognise and record personal preferences,roghanna pearsanta a aithint agus a chlárú
identify some everyday choices made by himself/herself and those that are made by others,roinnt roghanna laethúla a dhéanann sé/sí féin a aithint mar aon leis na cinn a dhéanann daoine eile
"express own views, opinions and preferences","a t(h)uairimí, a d(h)earcadh agus a roghanna féin a chur in iúl"
discuss and appreciate all the features that make a person special and unique,na hairíonna uile is cúis le duine a bheith speisialta agus uathúil a phlé agus a léirthuiscint
"begin to understand, appreciate and respect personal abilities, skills and talents","tosú ar chumais, scileanna agus buanna pearsanta a chiallú, a léirthuiscint agus a mhórluacháil"
