english,irish
"using a computer art program to experiment with marks, lines, shapes, pattern and rhythm","ríomhchlár ealaíne a úsáid chun triail a dhéanamh le marcanna, línte, cruthanna, gréasa agus rithim"
"using crayons, soft pencils, charcoal, chalks, textured papers, fabrics","trí chriáin, phinn luaidhe boga, ghualach, chailceanna, pháipéir uigeacha agus fhabraicí a úsáid"
drawing the shapes of objects and their shadows,cruthanna rudaí agus a scáileanna a tharraingt
making silhouette drawings of simple objects,líníochtaí d'imlínte rudaí simplí a dhéanamh
"friends skipping, playing ball, running in the yard","cairde ag scipeáil, ag imirt liathróide, ag rith sa chlós"
imaginative themes based on the fantastic and the magical,téamaí samhalta bunaithe ar fhantaisíocht agus ar dhraíocht
describing what is happening in the drawing,cur síos ar a bhfuil ag titim amach sa líníocht
how materials and tools were used and effects created,mar a úsáideadh ábhair agus uirlisí agus na torthaí a cruthaíodh
"lines, shapes, textures, patterns, tones created and arranged to compose the drawing","línte, cruthanna, uigeacht, gréasa agus toin a cruthaíodh agus a eagraíodh chun an líníocht a dhéanamh"
what he/she likes best about the drawing,an ghné den líníocht is mó a thaitníonn leis/léi
what was intended,cad a bhí i gceist
a classmate,páiste eile sa rang
"a variety of natural and manufactured objects (e.g. a tree, leaf, flower, fruit, vegetable, objects grouped on shelves or display tables)","raon d'earraí nádúrtha agus d'earraí saothraithe (m.sh. crann, duilleog, bláth, toradh, glasra, rudaí grúpáilte ar sheilfeanna nó ar bhoird taispeána)"
"interpreting, as appropriate, line, tone, texture, pattern","de réir mar is cuí, líne, ton, uigeacht, gréas a léirmhíniú"
"using a computer art program to experiment with marks, lines, shapes, pattern and rhythm","ríomhchlár ealaíne a úsáid chun triail a dhéanamh le marcanna, línte, cruthanna, gréasa agus rithim"
"using crayons, soft pencils, charcoal, chalks, textured papers, fabrics","trí chriáin, phinn luaidhe boga, ghualach, chailceanna, pháipéir uigeacha agus fhabraicí a úsáid"
drawing the shapes of objects and their shadows,cruthanna rudaí agus a scáileanna a tharraingt
making silhouette drawings of simple objects,líníochtaí d'imlínte rudaí simplí a dhéanamh
"friends skipping, playing ball, running in the yard","cairde ag scipeáil, ag imirt liathróide, ag rith sa chlós"
imaginative themes based on the fantastic and the magical,téamaí samhalta bunaithe ar fhantaisíocht agus ar dhraíocht
discovering and talking about how different textures feel and how they compare when put together,mar a mhothaíonn saghsanna éagsúla uigeachta a fhionnachtain agus a phlé; an chomparáid a bhíonn eatarthu nuair a chuirtear le chéile iad a phlé
experimenting in changing open-weave fabric (e.g. hessian),triail a bhaint as fabraic fhí-oscailte (m.sh. heiseán) a athrú
removing sets of fibres in either direction,roinnt snáithíní a bhaint as sa dá threo
talking about and inventing stitches,greamanna fuála a chumadh agus a phlé
threading in decorative items,rudaí maisiúla a fhí isteach
weaving in contrasting fibres,feidhm a bhaint as snáithíní i gcodarsnacht a chéile san fhíodóireacht
"sewing, lacing or pinning large fabric strips together to create a magic cloak","clóca draíochta a chruthú trí stiallanna móra fabraice a fhuáil, a lásáil nó a cheangal le chéile le bioráin"
using old clothes,seanéadaí a úsáid
creating colourful and/or textural effects,torthaí dathannacha nó uigeacha a chruthú
"creating line, shape, colour, texture","líne, gréas, dath agus uigeacht a chruthú"
decorating a small piece of fabric with stitches and other additions,píosa beag fabraice a mhaisiú le greamanna agus le maisíochtaí eile
designing and making a non-representational or theme-based collage or appliqué,colláis nó appliqué neamhléiritheach nó ceann bunaithe ar théama a dhearadh agus a dhéanamh
designing and making soft sculptures or puppets,dealbha boga nó puipéid a dhearadh agus a dhéanamh
"developing colour, texture, shape awareness","feasacht ar dhath, ar uigeacht agus ar chruth a fhorbairt"
filling in some of the shapes created with colourful and/or textural effects,roinnt de na cruthanna a rinneadh a líonadh isteach chun torthaí dathannacha nó uigeacha a chruthú
"paying close attention to and talking about the shapes created, the shapes between the shapes and whether some of them overlap","aire ar leith a dhíriú ar na cruthanna a chruthaítear, ar na cruthanna idir na cruthanna seo agus cé acu an bhforluíonn cuid acu ar a chéile nó nach bhforluíonn, agus na pointí seo a phlé"
using old clothes,seanéadaí a úsáid
weaving small individual pieces,píosaí beaga ar leith a fhí
describing the work,cur síos ar an saothar
"the colours, textures, patterns and effects created","na dathanna, na saghsanna uigeachta, na gréasa agus na maisíochtaí a cruthaíodh"
what he/she intended,an idé a bhí in aigne aige/aici
what he/she likes best about the work,an ghné den saothar is mó a thaitníonn leis/léi
colour and pattern,dath agus gréas
covering and folding qualities,cáilíochtaí clúdaithe agus infhillte
"soft, fluffy, coarse, stiff, warm, cool, finely or thickly woven","bog, clúmhach, garbh, righin, te, fuar, fite go tiubh nó go mín"
discovering and talking about how different textures feel and how they compare when put together,mar a mhothaíonn saghsanna éagsúla uigeachta a fhionnachtain agus a phlé; an chomparáid a bhíonn eatarthu nuair a chuirtear le chéile iad a phlé
experimenting in changing open-weave fabric (e.g. hessian),triail a bhaint as fabraic fhí-oscailte (m.sh. heiseán) a athrú
removing sets of fibres in either direction,roinnt snáithíní a bhaint as sa dá threo
talking about and inventing stitches,greamanna fuála a chumadh agus a phlé
threading in decorative items,rudaí maisiúla a fhí isteach
weaving in contrasting fibres,feidhm a bhaint as snáithíní i gcodarsnacht a chéile san fhíodóireacht
"sewing, lacing or pinning large fabric strips together to create a magic cloak","clóca draíochta a chruthú trí stiallanna móra fabraice a fhuáil, a lásáil nó a cheangal le chéile le bioráin"
using old clothes,seanéadaí a úsáid
creating colourful and/or textural effects,torthaí dathannacha nó uigeacha a chruthú
"creating line, shape, colour, texture","líne, gréas, dath agus uigeacht a chruthú"
decorating a small piece of fabric with stitches and other additions,píosa beag fabraice a mhaisiú le greamanna agus le maisíochtaí eile
designing and making a non-representational or theme-based collage or appliqué,colláis nó appliqué neamhléiritheach nó ceann bunaithe ar théama a dhearadh agus a dhéanamh
designing and making soft sculptures or puppets,dealbha boga nó puipéid a dhearadh agus a dhéanamh
"developing colour, texture, shape awareness","feasacht ar dhath, ar uigeacht agus ar chruth a fhorbairt"
filling in some of the shapes created with colourful and/or textural effects,roinnt de na cruthanna a rinneadh a líonadh isteach chun torthaí dathannacha nó uigeacha a chruthú
"paying close attention to and talking about the shapes created, the shapes between the shapes and whether some of them overlap","aire ar leith a dhíriú ar na cruthanna a chruthaítear, ar na cruthanna idir na cruthanna seo agus cé acu an bhforluíonn cuid acu ar a chéile nó nach bhforluíonn, agus na pointí seo a phlé"
using old clothes,seanéadaí a úsáid
weaving small individual pieces,píosaí beaga ar leith a fhí
describing the work,cur síos ar an saothar
"the colours, textures, patterns and effects created","na dathanna, na saghsanna uigeachta, na gréasa agus na maisíochtaí a cruthaíodh"
what he/she intended,an idé a bhí in aigne aige/aici
what he/she likes best about the work,an ghné den saothar is mó a thaitníonn leis/léi
colour and pattern,dath agus gréas
covering and folding qualities,cáilíochtaí clúdaithe agus infhillte
"soft, fluffy, coarse, stiff, warm, cool, finely or thickly woven","bog, clúmhach, garbh, righin, te, fuar, fite go tiubh nó go mín"
describing what is happening in the painting,cur síos ar a bhfuil ag tarlú sa phictiúr
how colour was used and effects created,an tslí inar úsáideadh dath agus na torthaí a cruthaíodh
how they are arranged in the painting,an chaoi a n-eagraítear iad sa phictiúr
the colours and tones chosen,na dathanna agus na toin a roghnaíodh
"the lines, shapes, textures and pattern created","na línte, na cruthanna, na fabraicí agus na gréasa a cruthaíodh"
what he/she likes best about the painting,an rud is mó a thaitníonn leis/léi sa phictiúr
what he/she or the artist was trying to express,an rud a bhí ar intinn aige/aici féin nó ag an ealaíontóir a chur in iúl
discover colour and tone through themes chosen for their colour possibilities (e.g. a sunny or stormy sky),dath agus ton a aithint trí théamaí a roghnaítear i ngeall ar a bhféidearthachtaí datha (m.sh. spéir ghrianmhar/stoirmiúil)
using repeated complementary colours to add variety to his/her work,dathanna comhlántacha a úsáid arís agus arís eile chun éagsúlacht bhreise a chur lena c(h)uid oibre
colour-and-shape games based on camouflage,cluichí datha agus crutha bunaithe ar dhuaithníocht
features that blend with their environment and those that stand out,gnéithe a dhuaithníonn ina dtimpeallacht agus iad sin nach nduaithníonn
"paint, crayons, chalks, coloured pencils, felttipped or fibre-tipped pens","péint, criáin, cailceanna, pinn luaidhe daite, pinn le bioranna feilte nó snáithín"
"print, collage, fabric and fibre","prionta, colláis, fabraic agus snáithín"
using a computer art program to experiment with colour and to create images,ríomhchlár ealaíne a úsáid chun triail a bhaint as dath agus chun íomhánna a chumadh
"creating creamy, crumbly textures",uigeacht uachtair agus uigeacht chraptha a chruthú
interpreting a variety of these in colour and tone,roinnt díobh seo a léiriú i ndath agus i dton
"rough, smooth, bumpy, prickly, fluffy","garbh, réidh, cnapánach, biorach, clúmhach"
texture in natural and manufactured objects,uigeacht in earraí nádúrtha agus in earraí saothraithe
flowers and other objects from the nature table,bláthanna agus ábhair eile ón mbord dúlra
toys with imagined background detail,bréagáin le sonraí cúlra samhailteacha
"particular moments from stories, poems, songs, music","ócáidí ar leith roghnaithe as scéalta, as dánta, as amhráin agus as ceol"
what might happen next in a story,cad a d'fhéadfadh tarlú sa scéal ansin
describing what is happening in the painting,cur síos ar a bhfuil ag tarlú sa phictiúr
how colour was used and effects created,an tslí inar úsáideadh dath agus na torthaí a cruthaíodh
how they are arranged in the painting,an chaoi a n-eagraítear iad sa phictiúr
the colours and tones chosen,na dathanna agus na toin a roghnaíodh
"the lines, shapes, textures and pattern created","na línte, na cruthanna, na fabraicí agus na gréasa a cruthaíodh"
what he/she likes best about the painting,an rud is mó a thaitníonn leis/léi sa phictiúr
what he/she or the artist was trying to express,an rud a bhí ar intinn aige/aici féin nó ag an ealaíontóir a chur in iúl
discover colour and tone through themes chosen for their colour possibilities (e.g. a sunny or stormy sky),dath agus ton a aithint trí théamaí a roghnaítear i ngeall ar a bhféidearthachtaí datha (m.sh. spéir ghrianmhar/stoirmiúil)
using repeated complementary colours to add variety to his/her work,dathanna comhlántacha a úsáid arís agus arís eile chun éagsúlacht bhreise a chur lena c(h)uid oibre
colour-and-shape games based on camouflage,cluichí datha agus crutha bunaithe ar dhuaithníocht
features that blend with their environment and those that stand out,gnéithe a dhuaithníonn ina dtimpeallacht agus iad sin nach nduaithníonn
"paint, crayons, chalks, coloured pencils, felttipped or fibre-tipped pens","péint, criáin, cailceanna, pinn luaidhe daite, pinn le bioranna feilte nó snáithín"
"print, collage, fabric and fibre","prionta, colláis, fabraic agus snáithín"
using a computer art program to experiment with colour and to create images,ríomhchlár ealaíne a úsáid chun triail a bhaint as dath agus chun íomhánna a chumadh
"creating creamy, crumbly textures",uigeacht uachtair agus uigeacht chraptha a chruthú
interpreting a variety of these in colour and tone,roinnt díobh seo a léiriú i ndath agus i dton
"rough, smooth, bumpy, prickly, fluffy","garbh, réidh, cnapánach, biorach, clúmhach"
texture in natural and manufactured objects,uigeacht in earraí nádúrtha agus in earraí saothraithe
flowers and other objects from the nature table,bláthanna agus ábhair eile ón mbord dúlra
toys with imagined background detail,bréagáin le sonraí cúlra samhailteacha
"particular moments from stories, poems, songs, music","ócáidí ar leith roghnaithe as scéalta, as dánta, as amhráin agus as ceol"
what might happen next in a story,cad a d'fhéadfadh tarlú sa scéal ansin
describing the print,cur síos a dhéanamh ar an bprionta
how materials and tools were used to create effects,mar a úsáideadh ábhair agus uirlisí chun torthaí a bhaint amach
"line, shape, colour and tone, texture, pattern and how they combine","líne, cruth, dath agus ton, uigeacht, gréas agus mar a chomhcheanglaíonn siad le chéile"
looking at some prints to investigate printmaking techniques (e.g. comparing the lithograph with his/her own wax-resist technique),roinnt priontaí a bhreathnú chun teicníochtaí priontála a imscrúdú (m.sh. liotagraf a chur i gcomparáid lena p(h)ictiúr féin ar pháipéar gréiscdhíonach)
what he/she likes about the print,na gnéithe den phrionta a thaitníonn leis/léi
discovering how simple prints could be further developed by overprinting with contrasting colours and with the same or contrasting shapes,a fháil amach mar a d'fhéadfaí priontaí simplí a fhorbairt a thuilleadh trí fhorphriontáil orthu le dathanna i gcodarsnacht leo agus leis na cruthanna céanna nó le cruthanna i gcodarsnacht leo
"making rubbings from tree bark, fabrics",cuimilteáin de choirt chrainn nó d'fhabraicí a dhéanamh
"using a limited colour range to focus on texture, shape, negative shape, pattern","raon teoranta de dhathanna a úsáid chun díriú ar uigeacht, ar chruth, ar chlaonchruth agus ar ghréas"
with oddments that have interesting textures and/or shapes,le hearraí fuíll a bhfuil uigeacht nó cruthanna spéisiúla orthu
composing a relief print block using one or more colours,feidhm a bhaint as dath amháin nó as níos mó ná dath amháin agus bloc priontála rilífe á chumadh
creating a design for a print by drawing thick and thin lines into a slab of clay,dearadh le haghaidh prionta a chruthú trí línte tiubha agus línte tanaí a tharraingt ar leac chré
doing a number of exploded designs using a computer art program,ríomhchlár ealaíne a úsáid chun roinnt dearthaí pléasctha a dhéanamh
making a variety of relief prints,priontaí éagsúla rilífeacha a dhéanamh
making stencils,stionsail a dhéanamh
making wax-crayon,priontaí inaistrithe a dhéanamh trí chriáin chéarach a úsáid
making wax-resist pictures,priontaí inaistrithe a dhéanamh trí chriáin chéarach a úsáid
masking areas of an inked surface from which prints have already been taken,"achair de dhromchla clúdaithe le dúch, ónar tógadh priontaí cheana, a mhascadh"
printing with mask-outs,priontáil trí mhascadh
sponge painting over a wax crayon or candle design,péinteáil le spúinse anuas ar dhearadh criáin chéarach nó coinnle
spray or sponge painting over stencils cut to his/her design,péint a spré nó a leathadh le spúinse ar stionsail a gearradh de réir gréasa a chum an páiste féin
transfer prints using wax crayons of various colours to print out as a coloured drawing,criáin chéarach ar dhathanna éagsúla a úsáid chun bloc priontála daite a dhéanamh
describing the print,cur síos a dhéanamh ar an bprionta
how materials and tools were used to create effects,mar a úsáideadh ábhair agus uirlisí chun torthaí a bhaint amach
"line, shape, colour and tone, texture, pattern and how they combine","líne, cruth, dath agus ton, uigeacht, gréas agus mar a chomhcheanglaíonn siad le chéile"
looking at some prints to investigate printmaking techniques (e.g. comparing the lithograph with his/her own wax-resist technique),roinnt priontaí a bhreathnú chun teicníochtaí priontála a imscrúdú (m.sh. liotagraf a chur i gcomparáid lena p(h)ictiúr féin ar pháipéar gréiscdhíonach)
what he/she likes about the print,na gnéithe den phrionta a thaitníonn leis/léi
discovering how simple prints could be further developed by overprinting with contrasting colours and with the same or contrasting shapes,a fháil amach mar a d'fhéadfaí priontaí simplí a fhorbairt a thuilleadh trí fhorphriontáil orthu le dathanna i gcodarsnacht leo agus leis na cruthanna céanna nó le cruthanna i gcodarsnacht leo
"making rubbings from tree bark, fabrics",cuimilteáin de choirt chrainn nó d'fhabraicí a dhéanamh
"using a limited colour range to focus on texture, shape, negative shape, pattern","raon teoranta de dhathanna a úsáid chun díriú ar uigeacht, ar chruth, ar chlaonchruth agus ar ghréas"
with oddments that have interesting textures and/or shapes,le hearraí fuíll a bhfuil uigeacht nó cruthanna spéisiúla orthu
composing a relief print block using one or more colours,feidhm a bhaint as dath amháin nó as níos mó ná dath amháin agus bloc priontála rilífe á chumadh
creating a design for a print by drawing thick and thin lines into a slab of clay,dearadh le haghaidh prionta a chruthú trí línte tiubha agus línte tanaí a tharraingt ar leac chré
doing a number of exploded designs using a computer art program,ríomhchlár ealaíne a úsáid chun roinnt dearthaí pléasctha a dhéanamh
making a variety of relief prints,priontaí éagsúla rilífeacha a dhéanamh
making stencils,stionsail a dhéanamh
making wax-crayon,priontaí inaistrithe a dhéanamh trí chriáin chéarach a úsáid
making wax-resist pictures,priontaí inaistrithe a dhéanamh trí chriáin chéarach a úsáid
masking areas of an inked surface from which prints have already been taken,"achair de dhromchla clúdaithe le dúch, ónar tógadh priontaí cheana, a mhascadh"
printing with mask-outs,priontáil trí mhascadh
sponge painting over a wax crayon or candle design,péinteáil le spúinse anuas ar dhearadh criáin chéarach nó coinnle
spray or sponge painting over stencils cut to his/her design,péint a spré nó a leathadh le spúinse ar stionsail a gearradh de réir gréasa a chum an páiste féin
transfer prints using wax crayons of various colours to print out as a coloured drawing,criáin chéarach ar dhathanna éagsúla a úsáid chun bloc priontála daite a dhéanamh
"as a donkey, try, through physical and vocal communication, to make known to your masters how you feel about being pushed up a rocky mountainside","i ról mar asal, iarracht a dhéanamh trí mheán cumarsáide fisiceacha agus gutha a chur in iúl do do mháistrí mar is gráin leat do thiomáint suas in aghaidh leitreach carraigí"
"as a peasant woman, try to sell your produce in a market-place full of robbers and tricksters","i ról mar bhean tuaithe, bheith ag iarraidh do chuid earraí a dhíol i log margaidh atá lán le robálaithe agus bithiúnaigh"
"as a shepherd, try to get your scattered sheep into the pen without becoming too cross with them","i ról mar aoire, déan iarracht a dhéanamh do chuid caorach scaipthe a bhailiú isteach sa loca gan éirí ró-chrosta leo"
"as one of a group of starving refugees, try to communicate your anger at those who are preventing you from entering the wheatfield","i ról mar bhall de ghrúpa teifeach atá stiúgtha leis an ocras, iarracht a dhéanamh do chuid feirge a chur in iúl dóibh siúd atá ag cur baic ort dul isteach sa ghort cruithneachta"
"as members of a picnicking group, make suggestions about how the group should go about finding out, without arousing suspicion, who owns the clothes and belongings that have been found","i ról mar dhuine de ghrúpa ar phicnic, moltaí a dhéanamh i dtaobh cé mar ba chóir don ghrúpa dul i mbun fiosraithe, gan amhras a tharraingt orthu féin, d'fhonn a fháil amach cé leis na héadaí agus na giuirléidí a fritheadh"
decide from an old map which direction we should go in search of the treasure,"a chinneadh, tar éis dul i muinín seanléarscáile, cé acu treo ba cheart a ghabháil chun teacht ar an gciste"
discuss and decide whether we should take the road that leads high into the mountains or the one that leads down to the water,a phlé agus a chinneadh ar cheart bóthar na sléibhte nó an bóthar síos i dtreo an uisce a ghabháil
help set up an obstacle course in which the different elements represent the various hardships the shepherds might have encountered in going to Bethlehem,"bac-chúrsa a leagan amach, áit a seasann na heilimintí difriúla do na deacrachtaí éagsúla a d'fhulaing na haoirí ar a mbealach go Beithil"
"in a drama about space travel, decide whether we should stop to research what Mars might be like in reality before moving on with the drama"," i ndráma faoi spásthaisteal, a chinneadh ar cheart dúinn stopadh agus Mars athaighde, féachaint cén saghas é i ndáiríre, roimh leanúint leis an drámaíocht"
listen and contribute when the teacher asks for help in recalling and recording key moments in the journey of the Ark before the animals reach the new world,éisteacht agus cúnamh a thabhairt nuair a lorgaíonn an múinteoir cabhair chunócáidí tábhachtacha in aistear na hÁirce sular shroich siad an domhan nua amheabhrú agus a chlárú
"as part of a drama on an encounter with a giant, show how you think the huge key should be lifted up to the lock so as to open the door","mar chuid de dhráma i dtaobh teagmhála le fathach, léirigh mar ba chóir, dar leat, an eochair ollmhór a ardú go dtí an glas chun an doras a oscailt"
"in a randomly selected group of three, show for the class the scene in which the donkey is helped up the rocky slope","mar dhuine de thriúr a roghnaíodh go fánach, léirigh don rang an radharc ina dtugtar lámh chúnta don asal dul suas an leitir charraigeach"
"in a randomly selected pair, show how you might convince your mother to let you go to the woods","mar dhuine de bheirt a roghnaíodh go fánach, léirigh mar a d'áiteofá ar do mháthair ligean duit dul isteach sa choill"
céard a tharlaíonn nuair a chasann an garda a labhraíonn Gaeilge ar na páistí agus iad tar éis an chathaoir a thógáil amach as an teach,cad a tharlaíonn nuair a chasann an garda a labhraíonn Gaeilge ar na páistí agus iad tar éis an chathaoir a thógáil as an teach
decide with the group whether to give a man directions to the church and what he wants to do there,a chinneadh i dteannta leis an ngrúpa an dtabharfar eolas an bhealaigh go dtí an séipéal d'fhear áirithe agus an gnó atá aige ann a thomhas
"in a drama about friendship and exclusion, see how the group behaves when somebody new joins them","i ndráma i dtaobh cairdis agus eisiatacht, suntas a thabhairt don chaoi a n-iompraíonn baill an ghrúpa iad féin nuair a thaobhaíonn duine a gcomhluadar den chéad uair"
"in the same drama, decide whether to tell the garda that we gave him directions to the church","sa dráma céanna, a chinneadh an inseofar don gharda gur tugadh eolas an bhealaigh don fhear áirithe úd"
focus on helping to solve the mathematical problems the gatekeeper sets,díriú go hiomlán ar chabhrú chun na fadhbanna matamaitice a cheapann garda an gheata a réiteach
how can we help the peacock who has lost the ability to spread his tail?,conas is féidir linn cabhrú leis an bpéacóg a chaill an cumas a heireaball a leathadh
"mar bhall den ghrúpa atá ag iarraidh an mhuc dhraíochta a fháil ón bhfeirm, ceistigh an bhean a bhfuil mioneolas aici ar obair na feirme","i ról mar bhall den ghrúpa atá ag iarraidh an mhuc dhraíochta a fháil ón bhfeirm, ceistigh an bhean a bhfuil mioneolas aici ar obair na feirme"
the capital letters and small letters are arguing with each other but have to bury their differences when they hear there is a computer coming who wants to make them his/her slaves,"tá na ceannlitreacha agus na mionlitreacha ag argóint lena chéile, ach caitheann siad a n-ábhar spairne a chur uathu nuair a chloiseann siad go bhfuil ríomhaire ag teacht ar mhian leis sclábhaithe dá cuid a dhéanamh díobh"
"a scarf round the neck is taken as the royal robe, which passes from the king or queen to the pauper when they want to exchange places for the day",glactar le scaif timpeall an mhuinéil mar fhalaing ríoga a ghluaiseann ón rí nó ón mbanríon go dtí an bochtán nuair is mian leo siúd a staid sa saol a mhalartú ar feadh lae
set out different objects to represent aspects of the room in which the camogie or football team meets,nithe éagsúla a dheasú chun gnéithe de sheomra ina dtagann baill foirne camógaíochta nó peile le chéile a chur in iúl
use various objects to signal the different individual compartments in the rabbit warren,úsáid a bhaint as rudaí éagsúla chun na réimsí difriúla i gcoinicéar a chur in iúl
"because the shepherds and their wives have been warned that innkeepers are likely to exploit them, they treat this innkeeper warily","toisc gur tugadh rabhadh do na haoirí agus dá mná céile gur dócha gur caimiléirí iad na hóstóirí, caitheann siad go faichilleach leis an óstóir áirithe seo"
"the animals, knowing that some of the wilder animals have eaten smaller animals, go to Noah to ask him to devise the ‘Rules of the Ark’","agus a fhios ag na hainmhithe go bhfuil roinnt de na hainmhithe ab fhiáine tar éis ainmhithe beaga a ithe, téann siad chuig Naoi agus iarrann siad air 'Rialacha na hÁirce' a leagan síos"
the knowledge that the princess has been imprisoned in the castle and the children’s desire to get her out make them negotiate with the gatekeeper,"toisc go bhfuil a fhios ag na páistí go bhfuil an bhanphrionsa i ngéibheann sa chaisleán agus fonn a bheith orthu í a shaoradh, tá iachall orthu dul chun margaíochta le garda an gheata"
"in an alternative working of the same story, play out the scene where Jenny meets the giant’s wife for the first time and the giant’s wife tells her about how hard the giant is to live with","i leagan eile den scéal céanna, an radharc a léiriú ina gcastar Jenny ar bhean chéile an fhathaigh den chéad uair agus ina n-insíonn an bhean di cad é mar chiapadh é maireachtáil leis an bhfathach"
increase audibility and volume when talking to the man at the toll bridge who is hard of hearing,inchloisteacht agus láine gutha a mhéadú nuair a bhítear ag caint leis an bhfear ag an droichead dleachta atá bodhar
"play out the scene where a dealer convinces Jack that he should sell the cow he loves for a bag of beans, exploring what kind of person the dealer is and what kind of person Jack is",an radharc ina gcuireann an mangaire ina luí ar Sheán gur ceart dó a pheata bó a dhíol ar mhála pónairí a léiriú agus an sórt daoine iad an mangaire agus Seán a iniúchadh
take a role in a ‘presentation’ for people from China who want to see what life is like here in Ireland,"páirt a ghlacadh i 'léiriú' do dhaoine ón tSín, daoine ar mhian leo eolas a chur ar an gcineál saoil atá ag daoine in Éirinn"
"create circus acts for the circus owner who has lost his/her circus acts, and which must be good enough to fool the cross king or queen",cleasa sorcais a cheapadh do mháistir sorcais a chaill a c(h)uid cleas féin agus iad a bheith sách maith chun dallamullóg a chur ar rí nó ar bhanríon mhallaithe
moving from a game with blindfolds into a drama about children who were struck blind by the wicked witch,"ról duine atá, mar shampla, ag iarraidh clós imeartha a chur ar fáil do choileáin tíogair a ghlacadh i ndráma i dtaobh sráidbhaile oiriúnach a thógáil do thíogair"
"react as one of a group of snowmen or snowwomen playing, singing and dancing while people are asleep, and who is told by Jack Frost that the sun will soon be here","gníomhú mar a dhéanfadh duine ar ghrúpa fear nó ban sneachta atá ag súgradh, ag canadh agus ag damhsa fad atá daoine ina gcodladh nuair a insíonn Seáinín Seaca dóibh nach fada go dtiocfaidh an ghrian"
examine the question of bullying through a reworking of ‘Jack and the Beanstalk’ or ‘Jenny and the Giant’s Wife’,ceist na bulaíochta a scrúdú trí mheán leagan leasaithe de ‘Seán agus an Gas Pónaire’ nó ‘Jenny agus Bean Chéile an Fhathaigh’ a cheapadh
use reflections on stories gathered from his/her grandparents to lead to a drama about buying a house,feidhm a bhaint as smaointe bunaithe ar scéalta a bailíodh ó sheanaithreacha/sheanmháithreacha chun dráma a chruthú faoi theach a cheannach
"without knowing sign language, think about how to communicate with a person who cannot hear or speak",smaoinigh conas ab fhearr don té nach bhfuil aon eolas aige/aici ar theanga na gcomharthaí tabhairt faoi chumarsáid a dhéanamh le duine atá bodhar agus balbh
"in the context of a drama that uses a reworked Little Red Riding-Hood story, speculate whether there is any time when it is right to talk to strangers","i gcomhthéacs na drámaíochta ina n-úsáidtear leagan leasaithe de ‘An Chochaillín Dearg’, tuairimiú an ceart choíche labhairt le strainséir"
"make a picture-sequence, frieze or model to record or interpret what happened in the drama","sraith pictiúr, fríos nó mionsamhail a dhéanamh chun ar tharla sa drámaíocht a thaifeadadh nó a léirmhíniú"
reveal whether he/she suspected that it was the man posing as the lollipop person who had robbed the church,a nochtú an raibh nó nach raibh amhras air/uirthi gurbh é an fear a bhí ag ligean air féin gurbh é an maor tráchta é a rinne an séipéal a robáil
"in role, decide how to teach the frustrated frog to calm down","a chinneadh, i ról, cén chaoi ab fhearr tabhairt ar an bhfrog sáinnithe guaim a choinneáil air féin"
"out of role, speculate whether the drama might be more exciting if the ball goes into the river and is taken away by it","i ról, a thuairimiú an féidir go mbeadh an dráma níos spreagúla fós dá dtitfeadh an liathróid isteach san abhainn agus go scuabfaí chun bealaigh í"
"the teacher in role (as Noah) and the animals draw up a list of suggestions on how to calm the giraffe and save the Ark, after the giraffe has put his foot through the hull",tar éis don sioráf a chrúb a chur tríd an gcabhail ullmhaíonn an múinteoir ina ról (mar Naoi) agus na hainmhithe liosta moltaí chun an sioráf a shuaimhniú agus chun an Áirc a shábháil
write a short account of what he/she thinks the animals should do if they want to avoid being caught by the hunter,"gearrchuntas a scríobh ag cur síos ar cad ba chóir, dar leis/léi, do na hainmhithe a dhéanamh más mian leo a chinntiú nach ngabhfadh an fiagaí iad"
"as a donkey, try, through physical and vocal communication, to make known to your masters how you feel about being pushed up a rocky mountainside","i ról mar asal, iarracht a dhéanamh trí mheán cumarsáide fisiceacha agus gutha a chur in iúl do do mháistrí mar is gráin leat do thiomáint suas in aghaidh leitreach carraigí"
"as a peasant woman, try to sell your produce in a market-place full of robbers and tricksters","i ról mar bhean tuaithe, bheith ag iarraidh do chuid earraí a dhíol i log margaidh atá lán le robálaithe agus bithiúnaigh"
"as a shepherd, try to get your scattered sheep into the pen without becoming too cross with them","i ról mar aoire, déan iarracht a dhéanamh do chuid caorach scaipthe a bhailiú isteach sa loca gan éirí ró-chrosta leo"
"as one of a group of starving refugees, try to communicate your anger at those who are preventing you from entering the wheatfield","i ról mar bhall de ghrúpa teifeach atá stiúgtha leis an ocras, iarracht a dhéanamh do chuid feirge a chur in iúl dóibh siúd atá ag cur baic ort dul isteach sa ghort cruithneachta"
"as members of a picnicking group, make suggestions about how the group should go about finding out, without arousing suspicion, who owns the clothes and belongings that have been found","i ról mar dhuine de ghrúpa ar phicnic, moltaí a dhéanamh i dtaobh cé mar ba chóir don ghrúpa dul i mbun fiosraithe, gan amhras a tharraingt orthu féin, d'fhonn a fháil amach cé leis na héadaí agus na giuirléidí a fritheadh"
decide from an old map which direction we should go in search of the treasure,"a chinneadh, tar éis dul i muinín seanléarscáile, cé acu treo ba cheart a ghabháil chun teacht ar an gciste"
discuss and decide whether we should take the road that leads high into the mountains or the one that leads down to the water,a phlé agus a chinneadh ar cheart bóthar na sléibhte nó an bóthar síos i dtreo an uisce a ghabháil
